company_name,position,skill
사이버다임,서버개발팀  웹클라이언트 개발자(경력),"JavaScript, CSS 3, HTML5"
콘센트릭스서비스코리아,[Catalyst] 커머스플랫폼 구축/운영 BA,"SAP, hybris-commerce, Shopify, Spring Boot, Docker, Oracle, JavaScript, HTML5"
블록체인글로벌,토큰증권 서비스 프론트엔드 개발(미들급),"JavaScript, Vue.js, React, TypeScript, Git"
마카롱팩토리,프론트엔드 개발 (5년 이상),"React, TypeScript, JavaScript, HTML5, REST API"
블록체인글로벌,Front-End 엔지니어 채용(미들급),"JavaScript, Vue.js, React, TypeScript, Git"
블록체인글로벌,토큰증권서비스 프론트엔드개발(6년~8년),"JavaScript, Vue.js, React, TypeScript, Git"
가레나코리아,[외국계 게임사] 인큐베이션 개발자(경력),"Unity, Unreal Engine"
에스투더블유,Frontend Engineer 주니어(Product 3),"TypeScript, SCSS, Angular 2, RxJS, NGINX, Git, Docker, Kubernetes"
연합인포맥스,IT/AI부문(전문연구요원 포함) 채용,"AI/인공지능, TypeScript, Next.js, Python, Chart.js, NLP"
퍼퓸그라피,프론트엔드 개발자 (경력 3년~5년),"React, Node.js, HTML5, CSS 3, JavaScript, jQuery, TypeScript, PHP, Shopify, Figma"
코드스테이츠,Product Engineer,"React, Next.js, TypeScript, REST API, Bitbucket, AWS, GitHub, Slack, Notion, Jira"
제이앤피메디,시니어 프론트엔드 SW Engineer,"JavaScript, MSA, TypeScript, React, Sass, JSX, GitHub Actions"
블록체인글로벌,토큰증권서비스 프론트엔드(9년~11년),"JavaScript, Vue.js, React, TypeScript, Git"
마이노멀컴퍼니,[인아웃] 프론트엔드 개발자 (3년 이상),"React, React Native, TypeScript, Next.js, React Query, Docker"
벤디트,프론트엔드 개발자,"React, TypeScript, GraphQL, Electron, AWS, MSA, C++, C"
오픈엣지테크놀로지,[Network-on-Chip]RTL Design Engineer,"Verilog, C, Python"
블록체인글로벌,Front-End 엔지니어 (6년~8년),"JavaScript, Vue.js, React, TypeScript, Git"
블록체인글로벌,Front-End 엔지니어(9년 이상),"JavaScript, Vue.js, React, TypeScript, Git"
알로카도스,React-Native 스태프 엔지니어 채용,"JavaScript, Kotlin, TypeScript, iOS, Swift, Java, React Native, Objective-C"
에스투더블유,Frontend Engineer 시니어(Product 3),"TypeScript, SCSS, Angular 2, RxJS, NGINX, Git, Docker, Kubernetes"
패스트레인,프론트엔드 개발자,"React, GitHub, Jira, Confluence, Python"
팬딩,프론트엔드 리드 개발자 (5~10년차),Vue.js
바비톡,Web Frontend Developer,"aws, react, TypeScript, JavaScript"
퍼퓸그라피,향수 커머스 웹개발자(미들급) 채용,"React, Node.js, HTML5, CSS 3, JavaScript, jQuery, TypeScript, PHP, Shopify, Figma"
프리즘투자자문,"프론트엔드 (React, React Native)","React, React Native, JavaScript, ES6, TypeScript, Redux, mobX, Recoil, D3.js, Chart.js"
가레나코리아,[외국계 게임사] 인큐베이션 개발자(신입),"Unity, Unreal Engine"
알스퀘어,프론트엔드 개발자 (8년 이상),"JavaScript, TypeScript, React, vuex, AngularJS, Next.js, CSS 3"
아파트아이,프론트엔드 개발자 (대리/과장급),"Next.js, HTML5, JavaScript, React, Git, Jira, Zustand"
뉴빌리티,Front-end Web Developer,"ES6, React, Next.js, TypeScript"
